archivo,etiqueta,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,ZCR,RMS,Centroid,Bandwidth,Rolloff,Flatness,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,Contrast_1,Contrast_2,Contrast_3,Contrast_4,Contrast_5,Contrast_6,Contrast_7,Tonnetz_1,Tonnetz_2,Tonnetz_3,Tonnetz_4,Tonnetz_5,Tonnetz_6,Tempo
segmento_107.wav,100m,-191.13956,131.19601,6.4758325,42.09306,7.691959,9.455127,6.3211837,6.052619,6.1824856,-6.5064955,-2.7062094,2.3073468,-0.68531907,0.031005859375,0.07822412,2902.119750710282,4395.170678704987,6692.629445511891,0.0057963217,0.72908634,0.70312715,0.6109641,0.4476959,0.30927655,0.29080385,0.3016241,0.3342954,0.45035014,0.54730535,0.66186625,0.7116891,11.26536363282943,9.766379199017035,12.69509261804363,13.357364017214671,12.988073766592777,14.8952452312781,19.190996217170696,-0.019534302558766436,-0.017920452285412548,-0.02808858464923639,-0.09907405547745861,0.010254812357338992,-0.02896044214376027,[114.84375]
segmento_108.wav,100m,-194.56117,125.737404,6.8969812,37.84742,6.007391,7.2661676,6.2059135,4.6901484,5.1687956,-2.8857439,-2.1330788,0.27634332,-2.8138611,0.03786672074390951,0.066250384,3225.190737573286,4648.544045598931,7432.052661869199,0.0093092425,0.6593145,0.71802837,0.60007536,0.43810242,0.30632567,0.25536758,0.27728558,0.33668634,0.42127168,0.45872226,0.48687863,0.5718033,10.334620824877035,10.504111618203481,12.47198468003657,13.521649930273918,12.773910744613847,14.275107268900708,18.805657937524575,-0.0031860393511079876,-0.00567378989195975,-0.05333177347315334,0.002891001924699115,0.010905954598744183,-0.005601418488215953,[126.04801829]
segmento_109.wav,100m,-203.2307,126.12654,8.969621,37.697254,5.6260576,8.513721,6.4268055,3.316063,5.3672667,-2.794532,-1.6840968,0.6670875,-2.0779397,0.038411080698955914,0.059035007,3228.3103046121073,4683.522950035907,7475.418834287993,0.009076431,0.7410289,0.7602114,0.6473132,0.5055603,0.4057314,0.35789523,0.31546608,0.33215332,0.40715617,0.45937642,0.5210528,0.6216488,10.09672233464381,9.718987710245438,12.069376998042326,13.176112361731239,12.790395015065593,14.451704365957754,18.614608766190663,-0.024343185826966398,-0.009145398699290909,-0.067901144605865,-0.01680413708134042,0.02306385618286305,-0.011296453766887751,[143.5546875]
segmento_11.wav,100m,-230.85503,129.93718,8.323309,36.20118,-6.462054,10.275581,6.8188725,5.245952,5.5641418,-2.417856,0.7476784,2.5596547,-1.0562158,0.0371473272549304,0.046996795,3133.1729842150307,4458.00441609561,7360.858196780742,0.010017542,0.5550926,0.5152424,0.52251697,0.5161162,0.499683,0.47498694,0.48387766,0.5503284,0.5852073,0.6308992,0.6442447,0.6086894,10.336988313856336,9.344453795626158,11.795326934354788,13.550919316272076,13.283607451174724,13.64495174354544,19.677193812722468,-0.001620035918119189,0.008404301275923797,-0.01601065354305098,0.010991545679293549,0.013300707475759318,0.0051537572175023,[139.67483108]
segmento_110.wav,100m,-208.30547,124.357895,6.3493958,38.010735,5.1775723,7.3877788,6.3321795,3.6812758,6.070493,-1.5205356,-0.8627545,3.5899858,-0.37982926,0.040355708925464036,0.052885298,3336.76367766285,4705.007562995559,7651.631380510441,0.010697021,0.70984715,0.5968872,0.46132466,0.41074148,0.40897304,0.40724033,0.43344826,0.5253503,0.66618365,0.72895026,0.7378156,0.7333736,10.570091064651564,8.807269186205852,11.80530065384857,13.204051257486872,12.64096472017424,14.176972238927174,18.651855017248355,0.01227819476312551,0.01844962419545903,-0.09068902039342967,-0.016308490681763,0.025342769070427856,0.015979186938038493,[112.34714674]
segmento_111.wav,100m,-199.9561,125.46201,10.961687,36.349384,3.9474108,9.445088,6.399772,4.299606,4.5396533,-1.0626658,-2.507189,2.7566104,-2.8765242,0.038763413573085846,0.058834776,3283.8972319823365,4724.011019148546,7657.501801315981,0.0103741,0.6234339,0.5654062,0.5186516,0.4966059,0.47657627,0.43467683,0.4439863,0.51262325,0.59288925,0.6002691,0.5933391,0.613664,9.71057566210878,9.121911094117905,12.176329037630774,13.242736145479343,12.687338127109127,14.010709838859636,18.53671839973989,0.006853874209905214,0.013843424486595654,-0.02097381856897571,0.017736313812728024,0.00856405226961876,5.48520473351253e-06,[129.19921875]
segmento_112.wav,100m,-208.41666,128.18452,6.799499,37.414047,5.521713,7.7671766,9.021028,5.6077967,4.6158214,-1.9373269,-2.8098056,3.2712653,-2.6293406,0.03773473752900232,0.056327935,3118.333301549252,4566.820281140708,7087.221645700406,0.008373474,0.7266711,0.66129696,0.624399,0.5676261,0.4903937,0.4087598,0.36496758,0.38440394,0.45919627,0.5227273,0.6166839,0.69677496,9.611648981192529,9.029763960262246,11.930341328919532,13.062071952325017,13.115260606175015,14.59953012473259,18.806888264861545,-0.0037176391856008494,-0.0037544707503092403,0.0035645170720709322,-0.0026054087887995418,0.003918227835768327,-0.004490281968418541,[139.67483108]
segmento_113.wav,100m,-202.8039,122.01182,7.224444,38.73614,2.6820455,10.569677,9.133154,5.0535975,6.1148143,-1.90281,-2.0073924,2.7134562,-1.3100262,0.03988951928654293,0.06462297,3318.0112562494983,4614.8927816982,7473.845061901827,0.010534528,0.70408887,0.49344227,0.32798955,0.27833876,0.2835524,0.28636417,0.3108319,0.39321068,0.5372609,0.69123113,0.7673378,0.7745855,11.815390710958914,9.552663507058694,13.013157680505621,13.552051568928283,13.834396891409515,14.6710435091193,19.519646295086762,-0.007243291346315065,0.019482384517206203,-0.01715095527037983,-0.04117315992272224,0.01279131750217029,0.008034362192989685,[112.34714674]
segmento_114.wav,100m,-189.73706,128.83882,7.677348,37.99356,4.3411465,6.8704486,8.610178,5.049673,4.302091,-2.0498865,-3.6005108,3.6016889,-3.2045972,0.03557995577146172,0.077321135,3098.9761727990854,4535.356222044089,6998.365957167199,0.008803719,0.57312125,0.47569066,0.40625966,0.38959965,0.43817994,0.4889001,0.5039554,0.53628606,0.5551154,0.58935535,0.6190351,0.62659746,10.892456577879788,9.485271718167768,12.683402718938254,13.198063949299344,12.78621674392165,13.974927198743368,19.252638142350644,-0.008137892177706553,0.005825925727980487,-0.018869458189939046,-0.038445679226722214,0.027675949870736207,-0.0037926249865121524,[92.28515625]
segmento_115.wav,100m,-216.5134,132.50575,6.551325,33.70929,1.7629566,7.0646315,5.762924,4.9385047,3.9520113,-4.157279,-3.0933628,0.7604914,-2.269414,0.03742885368329466,0.04981935,3064.821049320506,4512.20629597987,6995.06852931047,0.008799463,0.74366254,0.65393025,0.52553004,0.40716603,0.34435213,0.334833,0.35658532,0.42504802,0.50456023,0.5638614,0.6156013,0.68130594,10.005307745356298,9.377966571266597,12.669152536749902,13.186102524780395,13.00086242016988,14.374339963176334,18.59784100194865,0.00018409747700046165,0.006492135083550398,-0.02583010459487345,0.027809743183878428,0.008443907994775315,0.0008661506028755676,[139.67483108]
